,T10Y3MM,ICSA,UNRATE,PERMIT,UMCSENT,VIXCLS,USALOLITONOSTSAM,PCE,CPIAUCSL,INDPRO,CPILFESL,SP500,Recession
1960-01-31,,,5.2,1092.0,,,100.6913,323.6,29.37,24.1658,30.5,55.61000061035156,0.0
1960-02-29,,,4.8,1088.0,100.0,,100.4165,325.3,29.41,23.9508,30.6,56.119998931884766,0.0
1960-03-31,,,5.4,955.0,,,100.1121,330.2,29.41,23.7357,30.6,55.34000015258789,0.0
1960-04-30,,,5.2,1016.0,,,99.82441,336.5,29.54,23.5476,30.6,54.369998931884766,0.0
1960-05-31,,,5.1,1052.0,93.3,,99.57291,330.0,29.57,23.5207,30.6,55.83000183105469,1.0
1960-06-30,,,5.4,958.0,,,99.35302,330.1,29.61,23.225,30.7,56.91999816894531,1.0
1960-07-31,,,5.5,999.0,,,99.14601,331.4,29.55,23.1443,30.6,55.5099983215332,1.0
1960-08-31,,,5.6,994.0,97.2,,98.94968,331.6,29.61,23.1175,30.6,56.959999084472656,1.0
1960-09-30,,,5.5,984.0,,,98.75539,333.4,29.61,22.8755,30.6,53.52000045776367,1.0
1960-10-31,,,6.1,972.0,,,98.58868000000001,335.4,29.75,22.8487,30.8,53.38999938964844,1.0
1960-11-30,,,6.1,979.0,90.1,,98.4793,335.4,29.78,22.5261,30.8,55.540000915527344,1.0
1960-12-31,,,6.6,951.0,,,98.45916,331.3,29.81,22.096,30.7,58.11000061035156,1.0
1961-01-31,,,6.6,969.0,,,98.54543000000001,332.2,29.84,22.1229,30.8,61.779998779296875,1.0
1961-02-28,,,6.9,961.0,91.6,,98.7562,333.7,29.84,22.096,30.8,63.439998626708984,1.0
1961-03-31,,,6.9,1000.0,,,99.07895,337.7,29.84,22.2304,30.9,65.05999755859375,0.0
1961-04-30,,,7.0,1002.0,,,99.46701,337.6,29.81,22.6874,30.9,65.30999755859375,0.0
1961-05-31,,,7.1,1027.0,92.5,,99.86288,339.9,29.84,23.0368,30.9,66.55999755859375,0.0
1961-06-30,,,6.9,1070.0,,,100.2311,340.9,29.84,23.3594,31.0,64.63999938964844,0.0
1961-07-31,,,7.0,1083.0,,,100.5481,340.6,29.92,23.6282,31.0,66.76000213623047,0.0
1961-08-31,,,6.6,1159.0,99.2,,100.8071,342.1,29.94,23.8432,31.1,68.06999969482422,0.0
1961-09-30,,,6.7,1098.0,,,100.99600000000001,344.4,29.98,23.8164,31.1,66.7300033569336,0.0
1961-10-31,,,6.5,1123.0,,,101.1128,346.5,29.98,24.2733,31.1,68.62000274658203,0.0
1961-11-30,,,6.1,1152.0,93.0,,101.1628,349.9,29.98,24.6497,31.2,71.31999969482422,0.0
1961-12-31,,,6.0,1161.0,,,101.1342,352.4,30.01,24.8647,31.2,71.55000305175781,0.0
1962-01-31,,,5.8,1122.0,,,101.02,353.2,30.04,24.6496,31.2,68.83999633789062,0.0
1962-02-28,,,5.5,1194.0,99.9,,100.837,354.0,30.11,25.0529,31.2,69.95999908447266,0.0
1962-03-31,,,5.6,1134.0,,,100.5874,357.4,30.17,25.1873,31.3,69.55000305175781,0.0
1962-04-30,,,5.6,1235.0,,,100.2945,359.0,30.21,25.241,31.3,65.23999786376953,0.0
1962-05-31,,,5.5,1142.0,95.4,,99.99861,362.0,30.24,25.2141,31.4,59.630001068115234,0.0
1962-06-30,,,5.5,1154.0,,,99.74096999999999,360.4,30.21,25.1604,31.4,54.75,0.0
1962-07-31,,,5.4,1189.0,,,99.56329000000001,361.4,30.22,25.4023,31.4,58.22999954223633,0.0
1962-08-31,,,5.7,1200.0,91.6,,99.47346999999999,362.9,30.28,25.4292,31.5,59.119998931884766,0.0
1962-09-30,,,5.6,1223.0,,,99.46961,368.8,30.42,25.5905,31.5,56.27000045776367,0.0
1962-10-31,,,5.4,1181.0,,,99.53916,366.5,30.38,25.6174,31.5,56.52000045776367,0.0
1962-11-30,,,5.7,1236.0,95.0,,99.66577,371.7,30.38,25.7249,31.5,62.2599983215332,0.0
1962-12-31,,,5.5,1236.0,,,99.81844,373.6,30.38,25.7249,31.6,63.099998474121094,0.0
1963-01-31,,,5.7,1248.0,,,99.96941,374.4,30.44,25.913,31.5,66.19999694824219,0.0
1963-02-28,,,5.9,1212.0,98.4,,100.1003,373.4,30.48,26.2088,31.6,64.29000091552734,0.0
1963-03-31,,,5.7,1258.0,,,100.2036,375.0,30.51,26.37,31.7,66.56999969482422,0.0
1963-04-30,,,5.7,1288.0,,,100.2757,376.4,30.48,26.612,31.7,69.80000305175781,0.0
1963-05-31,,,5.9,1350.0,91.7,,100.3029,377.2,30.51,26.9345,31.7,70.80000305175781,0.0
1963-06-30,,,5.6,1345.0,,,100.285,381.7,30.61,27.0152,31.8,69.37000274658203,0.0
1963-07-31,,,5.6,1321.0,,,100.2416,384.4,30.69,26.9076,31.8,69.12999725341797,0.0
1963-08-31,,,5.4,1310.0,96.4,,100.1968,386.3,30.75,26.9614,31.9,72.5,0.0
1963-09-30,,,5.5,1413.0,,,100.1723,385.5,30.72,27.2302,31.9,71.69999694824219,0.0
1963-10-31,,,5.5,1414.0,,,100.1643,386.0,30.75,27.4184,32.0,74.01000213623047,0.0
1963-11-30,,,5.7,1357.0,94.4,,100.1683,389.4,30.78,27.5528,32.0,73.2300033569336,0.0
1963-12-31,,,5.5,1423.0,,,100.1967,394.7,30.88,27.499,32.1,75.0199966430664,0.0
1964-01-31,,,5.6,1296.0,,,100.2598,396.8,30.94,27.7409,32.2,77.04000091552734,0.0
1964-02-29,,,5.4,1442.0,99.5,,100.337,400.2,30.91,27.9291,32.2,77.80000305175781,0.0
1964-03-31,,,5.4,1313.0,,,100.4225,401.8,30.94,27.9291,32.2,78.9800033569336,0.0
1964-04-30,,,5.3,1264.0,,,100.5071,402.8,30.95,28.3861,32.2,79.45999908447266,0.0
1964-05-31,,,5.1,1299.0,98.5,,100.5844,408.4,30.98,28.5474,32.2,80.37000274658203,0.0
1964-06-30,,,5.2,1280.0,,,100.6539,411.4,31.01,28.628,32.3,81.69000244140625,0.0
1964-07-31,,,4.9,1304.0,,,100.7116,414.9,31.02,28.8162,32.3,83.18000030517578,0.0
1964-08-31,,,5.0,1306.0,100.6,,100.7502,417.7,31.05,29.0043,32.3,81.83000183105469,0.0
1964-09-30,,,5.1,1265.0,,,100.7887,416.6,31.08,29.1119,32.3,84.18000030517578,0.0
1964-10-31,,,5.1,1230.0,,,100.8324,419.6,31.12,28.7087,32.4,84.86000061035156,0.0
1964-11-30,,,4.8,1254.0,99.9,,100.8963,416.4,31.21,29.5957,32.5,84.41999816894531,0.0
1964-12-31,,,5.0,1164.0,,,100.9726,421.0,31.25,29.9452,32.5,84.75,0.0
1965-01-31,,,4.9,1264.0,,,101.0401,424.4,31.28,30.2677,32.6,87.55999755859375,0.0
1965-02-28,,,5.1,1185.0,102.0,,101.0802,431.4,31.28,30.4559,32.6,87.43000030517578,0.0
1965-03-31,,,4.7,1211.0,,,101.0817,433.3,31.31,30.8591,32.6,86.16000366210938,0.0
1965-04-30,,,4.8,1162.0,,,101.0416,437.1,31.38,30.9935,32.7,89.11000061035156,0.0
1965-05-31,,,4.6,1207.0,105.4,,100.9766,437.6,31.48,31.2354,32.7,88.41999816894531,0.0
1965-06-30,,,4.6,1241.0,,,100.9164,435.2,31.61,31.4774,32.7,84.12000274658203,0.0
1965-07-31,,,4.4,1237.0,,,100.8949,441.0,31.58,31.7731,32.7,85.25,0.0
1965-08-31,,,4.4,1249.0,103.4,,100.9297,444.4,31.55,31.9075,32.7,87.16999816894531,0.0
1965-09-30,,,4.3,1227.0,,,101.0271,452.0,31.62,31.9881,32.8,89.95999908447266,0.0
1965-10-31,,,4.2,1279.0,,,101.1765,458.5,31.65,32.3107,32.8,92.41999816894531,0.0
1965-11-30,,,4.1,1306.0,102.9,,101.3537,459.1,31.75,32.4451,32.9,91.61000061035156,0.0
1965-12-31,,,4.0,1315.0,,,101.5236,461.7,31.85,32.8483,33.0,92.43000030517578,0.0
1966-01-31,,,4.0,1325.0,,,101.6441,465.2,31.88,33.1709,33.0,92.87999725341797,0.0
1966-02-28,,,3.8,1159.0,100.0,,101.6732,470.2,32.08,33.3859,33.1,91.22000122070312,0.0
1966-03-31,,,3.8,1234.0,,,101.5878,475.0,32.18,33.8429,33.1,89.2300033569336,0.0
