,T10Y3MM,ICSA,UNRATE,PERMIT,UMCSENT,VIXCLS,USALOLITONOSTSAM,PCE,CPIAUCSL,INDPRO,CPILFESL,SP500,Recession_Target,T10Y3MM_lag1,T10Y3MM_lag3,T10Y3MM_lag6,T10Y3MM_lag12,ICSA_lag1,ICSA_lag3,ICSA_lag6,ICSA_lag12,UNRATE_lag1,UNRATE_lag3,UNRATE_lag6,UNRATE_lag12,PERMIT_lag1,PERMIT_lag3,PERMIT_lag6,PERMIT_lag12,UMCSENT_lag1,UMCSENT_lag3,UMCSENT_lag6,UMCSENT_lag12,VIXCLS_lag1,VIXCLS_lag3,VIXCLS_lag6,VIXCLS_lag12,USALOLITONOSTSAM_lag1,USALOLITONOSTSAM_lag3,USALOLITONOSTSAM_lag6,USALOLITONOSTSAM_lag12,PCE_lag1,PCE_lag3,PCE_lag6,PCE_lag12,CPIAUCSL_lag1,CPIAUCSL_lag3,CPIAUCSL_lag6,CPIAUCSL_lag12,INDPRO_lag1,INDPRO_lag3,INDPRO_lag6,INDPRO_lag12,CPILFESL_lag1,CPILFESL_lag3,CPILFESL_lag6,CPILFESL_lag12,T10Y3MM_mom_change,T10Y3MM_yoy_change,ICSA_mom_change,ICSA_yoy_change,UNRATE_mom_change,UNRATE_yoy_change,PERMIT_mom_change,PERMIT_yoy_change,UMCSENT_mom_change,UMCSENT_yoy_change,VIXCLS_mom_change,VIXCLS_yoy_change,USALOLITONOSTSAM_mom_change,USALOLITONOSTSAM_yoy_change,PCE_mom_change,PCE_yoy_change,CPIAUCSL_mom_change,CPIAUCSL_yoy_change,INDPRO_mom_change,INDPRO_yoy_change,CPILFESL_mom_change,CPILFESL_yoy_change,T10Y3MM_roll12_mean,T10Y3MM_roll12_std,ICSA_roll12_mean,ICSA_roll12_std,UNRATE_roll12_mean,UNRATE_roll12_std,PERMIT_roll12_mean,PERMIT_roll12_std,UMCSENT_roll12_mean,UMCSENT_roll12_std,VIXCLS_roll12_mean,VIXCLS_roll12_std,USALOLITONOSTSAM_roll12_mean,USALOLITONOSTSAM_roll12_std,PCE_roll12_mean,PCE_roll12_std,CPIAUCSL_roll12_mean,CPIAUCSL_roll12_std,INDPRO_roll12_mean,INDPRO_roll12_std,CPILFESL_roll12_mean,CPILFESL_roll12_std,UNRATE_3m_avg,UNRATE_12m_min,Sahm_Rule_Indicator
1961-01-31,1.67,204000.0,6.6,969.0,90.1,25.36,98.54543000000001,332.2,29.84,22.1229,30.8,61.779998779296875,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,6.6,6.1,5.5,5.2,951.0,972.0,999.0,1092.0,90.1,97.2,93.3,100.0,25.36,25.36,25.36,25.36,98.45916,98.58868000000001,99.14601,100.6913,331.3,335.4,331.4,323.6,29.81,29.75,29.55,29.37,22.096,22.8487,23.1443,24.1658,30.7,30.8,30.6,30.5,0.0,0.0,0.0,0.0,0.0,26.923076923076916,1.8927444794952786,-11.263736263736268,0.0,-9.90000000000001,0.0,0.0,0.08762008532270382,-2.131137446830056,0.2716571083609898,2.65760197775029,0.10063737001007045,1.6002723867892366,0.12174149167269999,-8.453682476888824,0.32573289902280145,0.9836065573770592,1.67,0.0,204000.0,0.0,5.658333333333332,0.5728054299725692,993.0833333333334,41.33996158975498,95.14999999999999,3.930648801406717,25.36,0.0,99.18354916666668,0.6738353882535776,331.90000000000003,3.0451153135353373,29.624166666666667,0.1443139464899894,23.059233333333335,0.5961172571251611,30.666666666666668,0.08876253645986296,6.433333333333334,4.8,True
1961-02-28,1.67,204000.0,6.9,961.0,91.6,25.36,98.7562,333.7,29.84,22.096,30.8,63.439998626708984,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,6.6,6.1,5.6,4.8,969.0,979.0,994.0,1088.0,90.1,90.1,97.2,100.0,25.36,25.36,25.36,25.36,98.54543000000001,98.4793,98.94968,100.4165,332.2,335.4,331.6,325.3,29.84,29.78,29.61,29.41,22.1229,22.5261,23.1175,23.9508,30.8,30.8,30.6,30.6,0.0,0.0,0.0,0.0,4.545454545454564,43.75000000000002,-0.8255933952528327,-11.672794117647056,1.6648168701442811,-8.400000000000007,0.0,0.0,0.2138810495829091,-1.6534135326365607,0.4515352197471456,2.582231786043643,0.0,1.4620877252635056,-0.12159346197831988,-7.744208961704835,0.0,0.6535947712418277,1.67,0.0,204000.0,0.0,5.833333333333333,0.6065301211636458,982.5,29.34899719519608,94.45,3.7313170962446147,25.36,0.0,99.04519083333334,0.5581901473912488,332.59999999999997,2.252271580588682,29.66,0.13960984596692916,22.904666666666667,0.5842750524964235,30.683333333333334,0.09374368665611403,6.699999999999999,5.1,True
1961-03-31,1.67,204000.0,6.9,1000.0,91.6,25.36,99.07895,337.7,29.84,22.2304,30.9,65.05999755859375,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,6.9,6.6,5.5,5.4,961.0,951.0,984.0,955.0,91.6,90.1,97.2,100.0,25.36,25.36,25.36,25.36,98.7562,98.45916,98.75539,100.1121,333.7,331.3,333.4,330.2,29.84,29.81,29.61,29.41,22.096,22.096,22.8755,23.7357,30.8,30.7,30.6,30.6,0.0,0.0,0.0,0.0,0.0,27.777777777777768,4.058272632674287,4.712041884816753,0.0,-8.400000000000007,0.0,0.0,0.32681492402502066,-1.0319931356948753,1.1986814504045595,2.271350696547536,0.0,1.4620877252635056,0.6082548877624827,-6.341923768837665,0.32467532467532756,0.9803921568627416,1.67,0.0,204000.0,0.0,5.958333333333333,0.6612087187091295,986.25,28.374524425329643,93.75,3.3654663326742282,25.36,0.0,98.95909499999999,0.4473389246217953,333.22499999999997,2.5470571253900265,29.695833333333336,0.12391040262539992,22.779225,0.5502348674140736,30.708333333333332,0.10836246694508865,6.800000000000001,5.1,True
1961-04-30,1.67,204000.0,7.0,1002.0,91.6,25.36,99.46701,337.6,29.81,22.6874,30.9,65.30999755859375,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,6.9,6.6,6.1,5.2,1000.0,969.0,972.0,1016.0,91.6,90.1,97.2,100.0,25.36,25.36,25.36,25.36,99.07895,98.54543000000001,98.58868000000001,99.82441,337.7,332.2,335.4,336.5,29.84,29.84,29.75,29.54,22.2304,22.1229,22.8487,23.5476,30.9,30.8,30.8,30.6,0.0,0.0,0.0,0.0,1.4492753623188248,34.615384615384606,0.20000000000000018,-1.3779527559055094,0.0,-8.400000000000007,0.0,0.0,0.3916674530765496,-0.35802866252853116,-0.029612081729335493,0.326894502228825,-0.10053619302949901,0.9140148950575577,2.0557434863970103,-3.6530262107390965,0.0,0.9803921568627416,1.67,0.0,204000.0,0.0,6.108333333333334,0.6775065693520249,985.0833333333334,27.307868773847748,93.05,2.767834729695612,25.36,0.0,98.92931166666666,0.39309914120373857,333.31666666666666,2.691344149924618,29.718333333333334,0.1173830817400396,22.707541666666668,0.49421307414061477,30.733333333333334,0.1154700538379316,6.933333333333334,5.1,True
1961-05-31,1.67,204000.0,7.1,1027.0,92.5,25.36,99.86288,339.9,29.84,23.0368,30.9,66.55999755859375,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,7.0,6.9,6.1,5.1,1002.0,961.0,979.0,1052.0,91.6,91.6,90.1,93.3,25.36,25.36,25.36,25.36,99.46701,98.7562,98.4793,99.57291,337.6,333.7,335.4,330.0,29.81,29.84,29.78,29.57,22.6874,22.096,22.5261,23.5207,30.9,30.8,30.8,30.6,0.0,0.0,0.0,0.0,1.4285714285714235,39.2156862745098,2.4950099800399306,-2.376425855513309,0.9825327510917026,-0.8574490889603381,0.0,0.0,0.3979912535824637,0.29121374478260353,0.6812796208530703,3.0000000000000027,0.10063737001007045,0.9130875887723988,1.5400618845702763,-2.0573367289238975,0.0,0.9803921568627416,1.67,0.0,204000.0,0.0,6.2749999999999995,0.6524429616309891,983.0,22.217928878191024,92.98333333333333,2.7708985524336467,25.36,0.0,98.95347583333334,0.44211479565331596,334.14166666666665,3.07259390960365,29.74083333333333,0.11212479519254807,22.667216666666665,0.43842522910429427,30.758333333333336,0.11645001528813939,7.0,5.4,True
1961-06-30,1.67,204000.0,6.9,1070.0,92.5,25.36,100.2311,340.9,29.84,23.3594,31.0,64.63999938964844,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,7.1,6.9,6.6,5.4,1027.0,1000.0,951.0,958.0,92.5,91.6,90.1,93.3,25.36,25.36,25.36,25.36,99.86288,99.07895,98.45916,99.35302,339.9,337.7,331.3,330.1,29.84,29.84,29.81,29.61,23.0368,22.2304,22.096,23.225,30.9,30.9,30.7,30.7,0.0,0.0,0.0,0.0,-2.8169014084506894,27.777777777777768,4.186952288218104,11.69102296450939,0.0,-0.8574490889603381,0.0,0.0,0.36872559653797765,0.8837979962763143,0.29420417769931984,3.271735837624945,0.0,0.7767646065518496,1.4003681066814933,0.5786867599569367,0.3236245954692629,0.9771986970684043,1.67,0.0,204000.0,0.0,6.400000000000001,0.612001188352974,992.3333333333334,32.091724601192496,92.91666666666667,2.772210582757307,25.36,0.0,99.02664916666667,0.5687751071374417,335.04166666666663,3.3502939717239495,29.759999999999994,0.10728043115634968,22.678416666666667,0.4553593722311961,30.78333333333333,0.13371158468431285,7.0,5.5,True
1961-07-31,1.67,204000.0,7.0,1083.0,92.5,25.36,100.5481,340.6,29.92,23.6282,31.0,66.76000213623047,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,6.9,7.0,6.6,5.5,1070.0,1002.0,969.0,999.0,92.5,91.6,90.1,93.3,25.36,25.36,25.36,25.36,100.2311,99.46701,98.54543000000001,99.14601,340.9,337.6,332.2,331.4,29.84,29.81,29.84,29.55,23.3594,22.6874,22.1229,23.1443,31.0,30.9,30.8,30.6,0.0,0.0,0.0,0.0,1.4492753623188248,27.27272727272727,1.2149532710280297,8.40840840840842,0.0,-0.8574490889603381,0.0,0.0,0.316269102105049,1.4141668434261678,-0.08800234672923235,2.7761013880507113,0.2680965147453085,1.25211505922167,1.150714487529636,2.0907955738561856,0.0,1.3071895424836555,1.67,0.0,204000.0,0.0,6.525000000000001,0.5626641174723217,999.3333333333334,41.46922919101545,92.85000000000001,2.771773308322196,25.36,0.0,99.14349,0.7195516668036889,335.80833333333334,3.4908864030197404,29.790833333333335,0.09375580790091513,22.718741666666663,0.5175467979864827,30.816666666666666,0.13371158468431563,7.0,5.5,True
1961-08-31,1.67,204000.0,6.6,1159.0,99.2,25.36,100.8071,342.1,29.94,23.8432,31.1,68.06999969482422,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,7.0,7.1,6.9,5.6,1083.0,1027.0,961.0,994.0,92.5,92.5,91.6,97.2,25.36,25.36,25.36,25.36,100.5481,99.86288,98.7562,98.94968,340.6,339.9,333.7,331.6,29.92,29.84,29.84,29.61,23.6282,23.0368,22.096,23.1175,31.0,30.9,30.8,30.6,0.0,0.0,0.0,0.0,-5.714285714285716,17.85714285714286,7.017543859649122,16.59959758551308,7.243243243243236,2.0576131687242816,0.0,0.0,0.2575881592988827,1.8771359341434923,0.4403992953611269,3.1664656212303965,0.06684491978610207,1.1144883485309176,0.9099296603211515,3.1391802746836728,0.3225806451612856,1.6339869281045694,1.67,0.0,204000.0,0.0,6.608333333333333,0.48139632761625994,1013.0833333333334,61.87444520718528,93.01666666666667,3.0980443489206015,25.36,0.0,99.298275,0.8601181617819963,336.68333333333334,3.6523549895508975,29.81833333333333,0.08375650133066465,22.779216666666667,0.6036188740848941,30.858333333333334,0.1378954368902597,6.833333333333333,5.5,True
1961-09-30,1.67,204000.0,6.7,1098.0,99.2,25.36,100.99600000000001,344.4,29.98,23.8164,31.1,66.7300033569336,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,6.6,6.9,6.9,5.5,1159.0,1070.0,1000.0,984.0,99.2,92.5,91.6,97.2,25.36,25.36,25.36,25.36,100.8071,100.2311,99.07895,98.75539,342.1,340.9,337.7,333.4,29.94,29.84,29.84,29.61,23.8432,23.3594,22.2304,22.8755,31.1,31.0,30.9,30.6,0.0,0.0,0.0,0.0,1.5151515151515138,21.818181818181827,-5.263157894736848,11.585365853658548,0.0,2.0576131687242816,0.0,0.0,0.1873875947229875,2.268848312988281,0.6723180356620784,3.299340131973616,0.13360053440214514,1.249577845322536,-0.11240101999731023,4.113134139144514,0.0,1.6339869281045694,1.67,0.0,204000.0,0.0,6.708333333333333,0.3315482505220612,1022.5833333333334,65.64014615979153,93.18333333333334,3.384143058800014,25.36,0.0,99.48499249999999,0.9679885766242133,337.59999999999997,4.105650208720178,29.849166666666665,0.0663952809568252,22.857625,0.6742414985812508,30.899999999999995,0.12792042981338592,6.766666666666666,6.1,True
1961-10-31,1.67,204000.0,6.5,1123.0,99.2,25.36,101.1128,346.5,29.98,24.2733,31.1,68.62000274658203,0.0,1.67,1.67,1.67,1.67,204000.0,204000.0,204000.0,204000.0,6.7,7.0,7.0,6.1,1098.0,1083.0,1002.0,972.0,99.2,92.5,91.6,97.2,25.36,25.36,25.36,25.36,100.99600000000001,100.5481,99.46701,98.58868000000001,344.4,340.6,337.6,335.4,29.98,29.92,29.81,29.75,23.8164,23.6282,22.6874,22.8487,31.1,31.0,30.9,30.8,0.0,0.0,0.0,0.0,-2.985074626865669,6.557377049180335,2.2768670309653904,15.534979423868322,0.0,2.0576131687242816,0.0,0.0,0.11564814448095095,2.560253367830856,0.6097560975609762,3.3094812164579768,0.0,0.7731092436974896,1.9184259585831587,6.234928026539799,0.0,0.9740259740259827,1.67,0.0,204000.0,0.0,6.741666666666667,0.28109633849473825,1035.1666666666667,69.42600159140457,93.35000000000001,3.6395554174052216,25.36,0.0,99.69533583333333,1.0279047565576094,338.52500000000003,4.76275798633146,29.868333333333336,0.06833518105412187,22.976341666666666,0.7882979287488308,30.925,0.13568010506001424,6.599999999999999,6.1,False
